Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
BMW,MID-SIZE,2,4,A8,Z,8.8,32,202
BMW,MID-SIZE,2,4,A8,Z,9.1,31,209
BMW,MID-SIZE,3,6,A8,D,7.9,36,213
BMW,MID-SIZE,3,6,A8,Z,10.1,28,232
BMW,FULL-SIZE,3,6,A8,Z,10.7,26,246
BMW,MID-SIZE,4.4,8,A8,Z,12.2,23,281
BMW,FULL-SIZE,4.4,8,A8,Z,12.7,22,292
BMW,COMPACT,3,6,A8,Z,10.1,28,232
BMW,SUBCOMPACT,4.4,8,A8,Z,12.7,22,292
BMW,COMPACT,4.4,8,A8,Z,12.2,23,281
BMW,COMPACT,4.4,8,A8,Z,12.7,22,292
BMW,FULL-SIZE,3,6,A8,Z,10.7,26,246
BMW,FULL-SIZE,4.4,8,A8,Z,12.7,22,292
BMW,FULL-SIZE,4.4,8,A8,Z,12.7,22,292
BMW,FULL-SIZE,6,12,A8,Z,15.5,18,356
BMW,COMPACT,3,6,A8,Z,8.3,34,191
BMW,MID-SIZE,3,6,A8,Z,9.3,30,214
BMW,FULL-SIZE,3,6,A8,Z,9.2,31,212
BMW,FULL-SIZE,4.4,8,A8,Z,12.7,22,292
BMW,FULL-SIZE,4.4,8,A8,Z,12.7,22,292
BMW,MID-SIZE,4.4,8,AM7,Z,14.7,19,338
BMW,MID-SIZE,4.4,8,M6,Z,13.8,20,317
BMW,COMPACT,4.4,8,AM7,Z,14.7,19,338
BMW,COMPACT,4.4,8,M6,Z,13.8,20,317
BMW,SUBCOMPACT,4.4,8,AM7,Z,14.7,19,338
BMW,SUBCOMPACT,4.4,8,M6,Z,13.8,20,317
BMW,COMPACT,4.4,8,AM7,Z,14.7,19,338
BMW,COMPACT,4.4,8,M6,Z,13.8,20,317
BMW,SUV - SMALL,2,4,A8,Z,9.1,31,209
BMW,SUV - SMALL,3,6,A6,Z,11.3,25,260
BMW,SUV - SMALL,2,4,A8,Z,10,28,230
BMW,SUV - SMALL,3,6,A8,Z,11,26,253
BMW,SUV - STANDARD,3,6,A8,Z,11.1,25,255
BMW,SUV - STANDARD,4.4,8,A8,Z,13.9,20,320
BMW,SUV - STANDARD,4.4,8,A6,Z,16.1,18,370
BMW,SUV - STANDARD,3,6,A8,Z,11.9,24,274
BMW,SUV - STANDARD,4.4,8,A8,Z,14.1,20,324
BMW,TWO-SEATER,2,4,A8,Z,9.1,31,209
BMW,TWO-SEATER,2,4,M6,Z,8.7,32,200
BMW,TWO-SEATER,3,6,AM7,Z,12.1,23,278
BMW,TWO-SEATER,3,6,M6,Z,11,26,253
BMW,TWO-SEATER,3,6,AM7,Z,12.1,23,278
BUICK,SUV - STANDARD,3.6,6,A6,X,12.3,23,283
BUICK,SUV - STANDARD,3.6,6,A6,X,12.6,22,290
BUICK,SUV - SMALL,1.4,4,AS6,X,8.5,33,196
BUICK,SUV - SMALL,1.4,4,AS6,X,9.2,31,212
BUICK,MID-SIZE,3.6,6,AS6,X,11.5,25,264
BUICK,MID-SIZE,3.6,6,AS6,E,15.6,18,250
BUICK,MID-SIZE,3.6,6,AS6,X,11.5,25,264
BUICK,MID-SIZE,3.6,6,AS6,E,16.5,17,264
BUICK,MID-SIZE,2.4,4,AS6,X,8.2,34,189
BUICK,MID-SIZE,2,4,AS6,Z,9.9,29,228
BUICK,MID-SIZE,2,4,M6,Z,9.8,29,225
BUICK,MID-SIZE,2,4,AS6,Z,10.7,26,246
BUICK,MID-SIZE,2.4,4,AS6,X,8.2,34,189
BUICK,COMPACT,2,4,AS6,Z,9.9,29,228
BUICK,COMPACT,2,4,M6,Z,9.8,29,225
BUICK,COMPACT,2.4,4,AS6,X,9.5,30,218
CADILLAC,COMPACT,2,4,AS6,Z,9.6,29,221
CADILLAC,COMPACT,2,4,M6,Z,10.2,28,235
CADILLAC,COMPACT,2.5,4,AS6,X,9,31,207
CADILLAC,COMPACT,3.6,6,AS6,X,10.9,26,251
CADILLAC,COMPACT,2,4,AS6,Z,10.1,28,232
CADILLAC,COMPACT,3.6,6,AS6,X,11.3,25,260
CADILLAC,MID-SIZE,3.6,6,AS6,X,11.2,25,258
CADILLAC,MID-SIZE,3.6,6,AS6,X,11.4,25,262
CADILLAC,MID-SIZE,2,4,AS6,Z,10.1,28,232
CADILLAC,MID-SIZE,3.6,6,AS8,X,10.8,26,248
CADILLAC,MID-SIZE,2,4,AS6,Z,10.8,26,248
CADILLAC,MID-SIZE,3.6,6,AS6,X,11.3,25,260
CADILLAC,MID-SIZE,3.6,6,AS8,Z,12.8,22,294
CADILLAC,STATION WAGON - SMALL,3,6,AS6,X,11,26,253
CADILLAC,STATION WAGON - SMALL,3.6,6,AS6,X,11.3,25,260
CADILLAC,STATION WAGON - SMALL,3,6,AS6,X,11.1,25,255
CADILLAC,STATION WAGON - SMALL,3.6,6,AS6,X,11.4,25,262
CADILLAC,MID-SIZE,6.2,8,AS6,Z,16.6,17,382
CADILLAC,MID-SIZE,6.2,8,M6,Z,14.8,19,340
CADILLAC,MID-SIZE,6.2,8,AS6,Z,16.6,17,382
CADILLAC,MID-SIZE,6.2,8,M6,Z,14.8,19,340
CADILLAC,STATION WAGON - SMALL,6.2,8,AS6,Z,16.6,17,382
CADILLAC,STATION WAGON - SMALL,6.2,8,M6,Z,14.8,19,340
CADILLAC,SUV - STANDARD,6.2,8,A6,Z,14.7,19,338
CADILLAC,SUV - STANDARD,6.2,8,A6,E,20.1,14,322
CADILLAC,SUV - STANDARD,6.2,8,A6,Z,16.4,17,377
CADILLAC,SUV - STANDARD,6.2,8,A6,E,22.1,13,354
CADILLAC,SUV - STANDARD,3.6,6,AS6,X,12.3,23,283
CADILLAC,SUV - STANDARD,3.6,6,AS6,X,12.8,22,294
CADILLAC,FULL-SIZE,3.6,6,AS6,X,11.4,25,262
CADILLAC,FULL-SIZE,3.6,6,AS6,X,11.8,24,271
CADILLAC,FULL-SIZE,3.6,6,AS6,Z,12.6,22,290
CHEVROLET,COMPACT,3.6,6,AS6,X,11.2,25,258
CHEVROLET,COMPACT,3.6,6,M6,X,11.7,24,269
CHEVROLET,COMPACT,3.6,6,AS6,X,10.5,27,242
CHEVROLET,COMPACT,6.2,8,AS6,Z,12.8,22,294
CHEVROLET,COMPACT,6.2,8,M6,Z,12.7,22,292
CHEVROLET,COMPACT,6.2,8,AS6,Z,16.6,17,382
CHEVROLET,COMPACT,6.2,8,M6,Z,14.8,19,340
CHEVROLET,TWO-SEATER,6.2,8,AS6,Z,12,24,276
CHEVROLET,TWO-SEATER,6.2,8,M7,Z,11.2,25,258
CHEVROLET,MID-SIZE,1.4,4,AS6,X,7.8,36,179
CHEVROLET,MID-SIZE,1.4,4,M6,X,7.8,36,179
CHEVROLET,MID-SIZE,1.8,4,AS6,X,8.8,32,202
CHEVROLET,MID-SIZE,1.8,4,M6,X,8.2,34,189
CHEVROLET,MID-SIZE,2,4,AS6,D,7.1,40,192
CHEVROLET,MID-SIZE,1.4,4,A6,X,7.7,37,177
CHEVROLET,MID-SIZE,1.4,4,M6,X,7.1,40,163
CHEVROLET,SUV - SMALL,2.4,4,A6,X,9.1,31,209
CHEVROLET,SUV - SMALL,3.6,6,A6,X,12,24,276
CHEVROLET,SUV - SMALL,3.6,6,A6,E,16.2,17,259
CHEVROLET,SUV - SMALL,2.4,4,A6,X,10,28,230
CHEVROLET,SUV - SMALL,3.6,6,A6,X,12.6,22,290
CHEVROLET,SUV - SMALL,3.6,6,A6,E,17,17,272
CHEVROLET,VAN - CARGO,4.3,6,A4,X,15.1,19,347
CHEVROLET,VAN - CARGO,5.3,8,A4,X,15.9,18,366
CHEVROLET,VAN - CARGO,5.3,8,A4,E,20.9,14,334
CHEVROLET,VAN - CARGO,5.3,8,A4,X,16.5,17,380
CHEVROLET,VAN - CARGO,5.3,8,A4,E,21.5,13,344
CHEVROLET,VAN - CARGO,5.3,8,A4,X,16.5,17,380
CHEVROLET,VAN - CARGO,5.3,8,A4,E,21.5,13,344
CHEVROLET,VAN - CARGO,5.3,8,A4,X,16.5,17,380
CHEVROLET,VAN - CARGO,5.3,8,A4,E,22.6,12,362
CHEVROLET,VAN - PASSENGER,5.3,8,A4,X,16.5,17,380
CHEVROLET,VAN - PASSENGER,5.3,8,A4,E,21.5,13,344
CHEVROLET,VAN - PASSENGER,5.3,8,A4,X,16.5,17,380
CHEVROLET,VAN - PASSENGER,5.3,8,A4,E,22.6,12,362
CHEVROLET,VAN - PASSENGER,4.8,8,A6,X,18,16,414
CHEVROLET,VAN - PASSENGER,6,8,A6,X,18.8,15,432
CHEVROLET,VAN - PASSENGER,6,8,A6,E,25.7,11,411
CHEVROLET,VAN - PASSENGER,4.8,8,A6,X,18.2,16,419
CHEVROLET,VAN - PASSENGER,6,8,A6,X,18.9,15,435
CHEVROLET,VAN - PASSENGER,6,8,A6,E,25.8,11,413
CHEVROLET,FULL-SIZE,2.5,4,AS6,X,9.6,29,221
CHEVROLET,FULL-SIZE,3.6,6,AS6,X,10.6,27,244
CHEVROLET,FULL-SIZE,3.6,6,AS6,E,14.3,20,229
CHEVROLET,FULL-SIZE,2.4,4,AS6,X,8.7,32,200
CHEVROLET,MID-SIZE,2,4,AS6,Z,9.9,29,228
CHEVROLET,MID-SIZE,2.5,4,AS6,X,8,35,184
CHEVROLET,SUV - SMALL,2.4,4,AS6,X,10.6,27,244
CHEVROLET,SUV - SMALL,2.4,4,M6,X,10.2,28,235
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A6,X,11.8,24,271
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A6,E,16.8,17,269
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A6,X,12.7,22,292
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A6,E,16.9,17,270
CHEVROLET,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,14.1,20,324
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A6,X,12.6,22,290
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A6,E,17.8,16,285
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A6,X,13,22,299
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A6,E,17.3,16,277
CHEVROLET,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,14.3,20,329
CHEVROLET,COMPACT,1.4,4,AS6,X,8,35,184
CHEVROLET,COMPACT,1.4,4,M6,X,7.5,38,173
CHEVROLET,COMPACT,1.8,4,AS6,X,8.3,34,191
CHEVROLET,COMPACT,1.8,4,M5,X,7.9,36,182
CHEVROLET,COMPACT,1.4,4,AS6,X,8.3,34,191
CHEVROLET,COMPACT,1.4,4,M6,X,8,35,184
CHEVROLET,MID-SIZE,1.4,4,AS6,X,8,35,184
CHEVROLET,MID-SIZE,1.4,4,M6,X,7.5,38,172
CHEVROLET,MID-SIZE,1.8,4,AS6,X,8.3,34,191
CHEVROLET,MID-SIZE,1.8,4,M5,X,7.9,36,182
CHEVROLET,MID-SIZE,1.4,4,AS6,X,8.3,34,191
CHEVROLET,MID-SIZE,1.4,4,M6,X,8,35,184
CHEVROLET,SUBCOMPACT,1.2,4,AV,X,6.9,41,159
CHEVROLET,SUBCOMPACT,1.2,4,M5,X,6.9,41,159
CHEVROLET,SUV - STANDARD,5.3,8,A6,X,13.8,20,317
CHEVROLET,SUV - STANDARD,5.3,8,A6,E,18.4,15,294
CHEVROLET,SUV - STANDARD,5.3,8,A6,X,13.8,20,317
CHEVROLET,SUV - STANDARD,5.3,8,A6,E,18.4,15,294
CHEVROLET,SUV - STANDARD,5.3,8,A6,X,13.8,20,317
CHEVROLET,SUV - STANDARD,5.3,8,A6,E,18.4,15,294
CHEVROLET,SUV - STANDARD,5.3,8,A6,X,13.8,20,317
CHEVROLET,SUV - STANDARD,5.3,8,A6,E,18.4,15,294
CHEVROLET,SUV - STANDARD,3.6,6,A6,X,12.3,23,283
CHEVROLET,SUV - STANDARD,3.6,6,A6,X,12.6,22,290
CHEVROLET,SUV - SMALL,1.4,4,AS6,X,8.4,34,193
CHEVROLET,SUV - SMALL,1.4,4,M6,X,8.1,35,186
CHEVROLET,SUV - SMALL,1.4,4,AS6,X,9,31,207
CHRYSLER,FULL-SIZE,3.6,6,A8,X,10.3,27,237
CHRYSLER,COMPACT,2.4,4,A4,X,10.1,28,232
CHRYSLER,COMPACT,2.4,4,A6,X,10.7,26,246
CHRYSLER,COMPACT,3.6,6,A6,X,10.5,27,242
CHRYSLER,COMPACT,3.6,6,A6,E,14.4,20,230
CHRYSLER,MID-SIZE,2.4,4,A4,X,9.8,29,225
CHRYSLER,MID-SIZE,2.4,4,A6,X,10,28,230
CHRYSLER,MID-SIZE,3.6,6,A6,X,10.5,27,242
CHRYSLER,MID-SIZE,3.6,6,A6,E,14.4,20,230
CHRYSLER,FULL-SIZE,5.7,8,A5,X,12.8,22,294
CHRYSLER,FULL-SIZE,3.6,6,A8,X,10.9,26,251
CHRYSLER,FULL-SIZE,5.7,8,A5,X,13.4,21,308
CHRYSLER,FULL-SIZE,3.6,6,A8,X,10.9,26,251
CHRYSLER,FULL-SIZE,3.6,6,A8,E,14.8,19,237
CHRYSLER,FULL-SIZE,3.6,6,A8,X,10.3,27,237
CHRYSLER,FULL-SIZE,3.6,6,A8,E,13.9,20,222
CHRYSLER,FULL-SIZE,6.4,8,A5,Z,13.8,20,317
CHRYSLER,MINIVAN,3.6,6,A6,X,12,24,276
CHRYSLER,MINIVAN,3.6,6,A6,E,16.8,17,269
DODGE,MID-SIZE,2.4,4,A4,X,9.8,29,225
DODGE,MID-SIZE,2.4,4,A6,X,10,28,230
DODGE,MID-SIZE,3.6,6,A6,X,10.5,27,242
DODGE,MID-SIZE,3.6,6,A6,E,14.4,20,230
DODGE,MID-SIZE,3.6,6,A5,X,11.2,25,258
DODGE,MID-SIZE,5.7,8,M6,X,13.1,22,301
DODGE,MID-SIZE,5.7,8,A5,X,12.8,22,294
DODGE,MID-SIZE,6.4,8,M6,Z,13.9,20,320
DODGE,MID-SIZE,6.4,8,A5,Z,13.8,20,317
DODGE,FULL-SIZE,3.6,6,A5,X,11.2,25,258
DODGE,FULL-SIZE,3.6,6,A8,X,10.3,27,237
DODGE,FULL-SIZE,5.7,8,A5,X,12.8,22,294
DODGE,FULL-SIZE,3.6,6,A8,X,10.9,26,251
DODGE,FULL-SIZE,5.7,8,A5,X,13.4,21,308
DODGE,FULL-SIZE,3.6,6,A8,X,10.9,26,251
DODGE,FULL-SIZE,3.6,6,A8,E,14.8,19,237
DODGE,FULL-SIZE,3.6,6,A5,X,11.2,25,258
DODGE,FULL-SIZE,3.6,6,A5,E,15.7,18,251
DODGE,FULL-SIZE,3.6,6,A8,X,10.2,28,235
DODGE,FULL-SIZE,3.6,6,A8,E,13.9,20,222
DODGE,FULL-SIZE,6.4,8,A5,Z,13.8,20,317
DODGE,MID-SIZE,2,4,M6,X,8.1,35,186
DODGE,MID-SIZE,2.4,4,A6,X,8.6,33,198
DODGE,MID-SIZE,2.4,4,M6,X,8.8,32,202
DODGE,MID-SIZE,2,4,A6,X,8.6,33,198
DODGE,MID-SIZE,2,4,A6,E,12.2,23,195
DODGE,MID-SIZE,2.4,4,A6,X,9.2,31,212
DODGE,MID-SIZE,2.4,4,M6,X,8.8,32,202
DODGE,MID-SIZE,1.4,4,AM6,X,7.3,39,168
DODGE,MID-SIZE,1.4,4,M6,X,7.3,39,168
DODGE,SUV - STANDARD,5.7,8,A8,X,14.4,20,331
DODGE,SUV - STANDARD,3.6,6,A8,X,12.1,23,278
DODGE,SUV - STANDARD,3.6,6,A8,E,15.6,18,250
DODGE,MINIVAN,3.6,6,A6,X,11.8,24,271
DODGE,MINIVAN,3.6,6,A6,E,16.5,17,264
DODGE,SUV - SMALL,2.4,4,A4,X,11.1,25,255
DODGE,SUV - SMALL,3.6,6,A6,X,12.4,23,285
DODGE,SUV - SMALL,3.6,6,A6,X,12,24,276
DODGE,SUV - SMALL,3.6,6,A6,E,16.2,17,259
FIAT,MINICOMPACT,1.4,4,M5,X,7.8,36,179
FIAT,MINICOMPACT,1.4,4,M5,X,7.8,36,179
FIAT,MINICOMPACT,1.4,4,A6,X,7.9,36,182
FIAT,MINICOMPACT,1.4,4,M5,X,7.2,39,166
FIAT,MINICOMPACT,1.4,4,M5,X,7.8,36,179
FIAT,MINICOMPACT,1.4,4,A6,X,7.9,36,182
FIAT,MINICOMPACT,1.4,4,M5,X,6.8,42,156
FIAT,MINICOMPACT,1.4,4,M5,X,7.8,36,179
FIAT,STATION WAGON - SMALL,1.4,4,AM6,X,8.7,32,200
FIAT,STATION WAGON - SMALL,1.4,4,M6,X,8.4,34,193
FORD,FULL-SIZE,2,4,AV,X,6,47,138
FORD,VAN - CARGO,4.6,8,A4,X,16.2,17,373
FORD,VAN - CARGO,4.6,8,A4,E,21.9,13,350
FORD,VAN - CARGO,5.4,8,A4,X,17.2,16,396
FORD,VAN - CARGO,5.4,8,A4,E,22.5,13,360
FORD,VAN - PASSENGER,4.6,8,A4,X,16.8,17,386
FORD,VAN - PASSENGER,4.6,8,A4,E,23,12,368
FORD,VAN - PASSENGER,6.8,10,A5,X,21.2,13,488
FORD,VAN - PASSENGER,5.4,8,A4,X,18.3,15,421
FORD,VAN - PASSENGER,5.4,8,A4,E,23.9,12,382
FORD,SUV - SMALL,2,4,A6,X,9.8,29,225
FORD,SUV - SMALL,3.5,6,AS6,X,10.8,26,248
FORD,SUV - SMALL,3.5,6,AS6,X,11.5,25,264
FORD,SUV - SMALL,3.7,6,AS6,X,12.2,23,281
FORD,SUV - SMALL,1.6,4,AS6,X,9.1,31,209
FORD,SUV - SMALL,2,4,AS6,X,9.6,29,221
FORD,SUV - SMALL,2.5,4,AS6,X,9.4,30,216
FORD,SUV - SMALL,1.6,4,AS6,X,9.3,30,214
FORD,SUV - SMALL,2,4,AS6,X,10,28,230
FORD,SUV - STANDARD,5.4,8,A6,X,16,18,368
FORD,SUV - STANDARD,5.4,8,A6,E,21.6,13,346
FORD,SUV - STANDARD,2,4,A6,X,10.2,28,235
FORD,SUV - STANDARD,3.5,6,AS6,X,13,22,299
FORD,SUV - STANDARD,3.5,6,AS6,X,11.9,24,274
FORD,SUV - STANDARD,3.5,6,AS6,E,15.9,18,254
FORD,SUV - STANDARD,3.5,6,AS6,X,12.5,23,288
FORD,SUV - STANDARD,3.5,6,AS6,E,16.7,17,267
FORD,PICKUP TRUCK - STANDARD,3.5,6,A6,X,12.7,22,292
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,12.8,22,294
FORD,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,15.9,18,366
FORD,PICKUP TRUCK - STANDARD,3.5,6,A6,X,13.8,20,317
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,13.4,21,308
FORD,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,17.5,16,402
FORD,PICKUP TRUCK - STANDARD,3.7,6,A6,X,12.3,23,283
FORD,PICKUP TRUCK - STANDARD,3.7,6,A6,E,16.5,17,264
FORD,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,12.3,23,283
FORD,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,16.5,17,264
FORD,PICKUP TRUCK - STANDARD,5,8,A6,X,14.6,19,336
FORD,PICKUP TRUCK - STANDARD,5,8,A6,E,19.7,14,315
FORD,PICKUP TRUCK - STANDARD,5,8,AS6,X,14.6,19,336
FORD,PICKUP TRUCK - STANDARD,5,8,AS6,E,19.7,14,315
FORD,PICKUP TRUCK - STANDARD,3.7,6,A6,X,13.4,21,308
FORD,PICKUP TRUCK - STANDARD,3.7,6,A6,E,18,16,288
FORD,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,13.4,21,308
FORD,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,18,16,288
FORD,PICKUP TRUCK - STANDARD,5,8,A6,X,14.9,19,343
FORD,PICKUP TRUCK - STANDARD,5,8,A6,E,20,14,320
FORD,PICKUP TRUCK - STANDARD,5,8,AS6,X,14.8,19,340
FORD,PICKUP TRUCK - STANDARD,5,8,AS6,E,19.9,14,318
FORD,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,18,16,414
FORD,SUBCOMPACT,1.6,4,AS6,X,7.6,37,175
FORD,SUBCOMPACT,1.6,4,M5,X,7.6,37,175
FORD,SUBCOMPACT,1,4,M5,X,6.6,43,152
FORD,SUBCOMPACT,1.6,4,AS6,X,7,40,161
FORD,COMPACT,1.6,4,M6,X,8,35,184
FORD,SUV - STANDARD,3.5,6,AS6,X,11.5,25,264
FORD,SUV - STANDARD,3.5,6,AS6,X,12.1,23,278
FORD,SUV - STANDARD,3.5,6,AS6,X,12.8,22,294
FORD,COMPACT,2,4,M6,X,8.9,32,205
FORD,COMPACT,2,4,A6,X,7.7,37,177
FORD,COMPACT,2,4,A6,E,10.3,27,165
FORD,COMPACT,2,4,AS6,X,7.8,36,179
FORD,COMPACT,2,4,AS6,E,10.3,27,165
FORD,COMPACT,2,4,M5,X,8,35,184
FORD,COMPACT,2,4,M5,E,10.6,27,170
FORD,COMPACT,2,4,A6,X,7.2,39,166
